,index,QueryID,ResponseID,QueryName,ResponseName,ReleaseDate,ControllerSupport,PlatformWindows,PlatformLinux,PlatformMac
0,0,10,10,Counter-Strike,Counter-Strike,Nov 1 2000,False,True,True,True
1,1,20,20,Team Fortress Classic,Team Fortress Classic,Apr 1 1999,False,True,True,True
2,2,30,30,Day of Defeat,Day of Defeat,May 1 2003,False,True,True,True
3,3,40,40,Deathmatch Classic,Deathmatch Classic,Jun 1 2001,False,True,True,True
4,4,50,50,Half-Life: Opposing Force,Half-Life: Opposing Force,Nov 1 1999,False,True,True,True
5,5,60,60,Ricochet,Ricochet,Nov 1 2000,False,True,True,True
6,6,70,70,Half-Life,Half-Life,Nov 8 1998,False,True,True,True
7,7,80,80,Counter-Strike: Condition Zero,Counter-Strike: Condition Zero,Mar 1 2004,False,True,True,True
8,8,80,80,Counter-Strike: Condition Zero,Counter-Strike: Condition Zero,Mar 1 2004,False,True,True,True
9,9,130,130,Half-Life: Blue Shift,Half-Life: Blue Shift,Jun 1 2001,False,True,True,True
10,10,220,220,Half-Life 2,Half-Life 2,Nov 16 2004,False,True,True,True
11,11,240,240,Counter-Strike: Source,Counter-Strike: Source,Nov 1 2004,False,True,True,True
12,12,280,280,Half-Life: Source,Half-Life: Source,Jun 1 2004,False,True,True,True
13,13,300,300,Day of Defeat: Source,Day of Defeat: Source,Jul 12 2010,False,True,True,True
14,14,320,320,Half-Life 2: Deathmatch,Half-Life 2: Deathmatch,Nov 1 2004,False,True,True,True
15,15,340,340,Half-Life 2: Lost Coast,Half-Life 2: Lost Coast,Oct 27 2005,False,True,True,True
16,16,360,360,Half-Life Deathmatch: Source,Half-Life Deathmatch: Source,May 1 2006,False,True,True,True
17,17,380,380,Half-Life 2: Episode One,Half-Life 2: Episode One,Jun 1 2006,False,True,True,True
18,18,400,400,Portal,Portal,Oct 10 2007,False,True,True,True
19,19,420,420,Half-Life 2: Episode Two,Half-Life 2: Episode Two,Oct 10 2007,False,True,True,True
20,20,440,440,Team Fortress 2,Team Fortress 2,Oct 10 2007,False,True,True,True
21,21,500,500,Left 4 Dead,Left 4 Dead,Nov 17 2008,True,True,False,True
22,22,550,550,Left 4 Dead 2,Left 4 Dead 2,Nov 16 2009,True,True,True,True
23,23,570,570,Dota 2,Dota 2,Jul 9 2013,False,True,True,True
24,24,620,620,Portal 2,Portal 2,Apr 18 2011,True,True,True,True
25,25,630,630,Alien Swarm,Alien Swarm,Jul 19 2010,False,True,False,False
26,26,620,620,Portal 2,Portal 2,Apr 18 2011,True,True,True,True
27,27,730,730,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,Aug 21 2012,True,True,True,True
28,28,1002,1002,Rag Doll Kung Fu,Rag Doll Kung Fu,Oct 12 2005,False,True,False,False
29,29,1200,1200,Red Orchestra: Ostfront 41-45,Red Orchestra: Ostfront 41-45,Mar 14 2006,False,True,True,True
30,30,1250,1250,Killing Floor,Killing Floor,May 14 2009,False,True,True,True
31,31,1300,1300,SiN Episodes: Emergence,SiN Episodes: Emergence,May 10 2006,False,True,False,False
32,32,1300,1300,SiN Episodes: Emergence,SiN Episodes: Emergence,May 10 2006,False,True,False,False
33,33,1300,1300,SiN Episodes: Emergence,SiN Episodes: Emergence,May 10 2006,False,True,False,False
34,34,1500,1500,Darwinia,Darwinia,Jul 14 2005,False,True,True,True
35,35,1510,1510,Uplink,Uplink,Aug 23 2006,False,True,True,True
36,36,1520,1520,DEFCON,DEFCON,Sep 29 2006,False,True,True,True
37,37,1530,1530,Multiwinia,Multiwinia,Sep 19 2008,False,True,False,True
38,38,1600,1600,Dangerous Waters,Dangerous Waters,Feb 7 2006,False,True,False,False
39,39,1610,1610,Space Empires IV Deluxe,Space Empires IV Deluxe,Feb 7 2006,False,True,False,False
40,40,1620,1620,Jagged Alliance 2,Jagged Alliance 2 Gold,Jul 6 2006,False,True,False,False
41,41,1630,1630,Disciples II: Rise of the Elves,Disciples II: Rise of the Elves,Jul 6 2006,False,True,False,False
42,42,1640,1640,Disciples II: Gallean's Return,Disciples II: Galleans Return,Jul 6 2006,False,True,False,False
43,43,1670,1670,Iron Warriors: T-72 Tank Command,Iron Warriors: T - 72 Tank Command,Jul 26 2006,False,True,False,False
44,44,1690,1690,Space Empires V,Space Empires V,Oct 16 2006,False,True,False,False
45,45,1700,1700,Arx Fatalis,Arx Fatalis,Apr 3 2007,False,True,False,False
46,46,1840,1840,Source Filmmaker,Source Filmmaker,Jul 10 2012,False,True,False,False
47,47,1900,1900,Earth 2160,Earth 2160,Apr 1 2006,False,True,True,True
48,48,1930,1930,Two Worlds: Epic Edition,Two Worlds Epic Edition,Apr 30 2009,False,True,True,True
49,49,2100,2100,Dark Messiah of Might & Magic Single Player,Dark Messiah of Might & Magic,Oct 25 2006,False,True,False,False
50,50,2100,2100,Dark Messiah of Might & Magic Single Player,Dark Messiah of Might & Magic,Oct 25 2006,False,True,False,False
51,51,2200,2200,Quake III Arena,Quake III Arena,Aug 3 2007,False,True,False,False
52,52,2210,2210,Quake 4,Quake IV,Aug 4 2011,False,True,False,False
53,53,2270,2270,Wolfenstein 3D,Wolfenstein 3D,Aug 3 2007,False,True,False,False
54,54,2280,2280,The Ultimate DOOM,Ultimate Doom,Aug 3 2007,False,True,False,False
55,55,2290,2290,Final DOOM,Final DOOM,Aug 3 2007,False,True,False,False
56,56,2300,2300,DOOM II: Hell on Earth,DOOM II,Aug 3 2007,False,True,False,False
57,57,2310,2310,Quake,QUAKE,Aug 3 2007,False,True,False,False
58,58,2320,2320,Quake II,QUAKE II,Aug 3 2007,False,True,False,False
59,59,2330,2330,Quake II: The Reckoning,QUAKE II Mission Pack: The Reckoning,Aug 3 2007,False,True,False,False
60,60,2340,2340,Quake II: Ground Zero,QUAKE II Mission Pack: Ground Zero,Aug 3 2007,False,True,False,False
61,61,2350,2350,Quake III: Team Arena,QUAKE III: Team Arena,Aug 3 2007,False,True,False,False
62,62,2360,2360,HeXen: Beyond Heretic,HeXen: Beyond Heretic,Aug 3 2007,False,True,False,False
63,63,2370,2370,HeXen: Deathkings of the Dark Citadel,HeXen: Deathkings of the Dark Citadel,Aug 3 2007,False,True,False,False
64,64,2390,2390,Heretic: Shadow of the Serpent Riders,Heretic: Shadow of the Serpent Riders,Aug 3 2007,False,True,False,False
65,65,2400,2400,The Ship,The Ship: Murder Party,Jul 11 2006,False,True,False,False
66,66,2420,2420,The Ship Single Player,The Ship: Single Player,Nov 20 2006,False,True,False,False
67,67,2450,2450,Bloody Good Time,Bloody Good Time,Oct 29 2010,False,True,False,False
68,68,2500,2500,Shadowgrounds,Shadowgrounds,May 8 2006,False,True,False,True
69,69,2520,2520,Gumboy: Crazy Adventures,Gumboy - Crazy Adventures(tm),Dec 19 2006,False,True,False,False
